first_name,last_name,full_name,year_id,set_id,card_number,team,control,put_out,strikeout,groundball,flyball,base_on_balls,single,double,homerun,points,innings_pitched,hand,position
Julian,Tavarez,Julian Tavarez,2001,PR,111,Cubs,6,2,2,8,2,2,3,1,0,500,7,R,Starter
Joey,Hamilton,Joey Hamilton,2001,PR,112,Blue Jays,3,4,2,6,4,1,2,1,0,280,5,R,Starter
Mike,Stanton,Mike Stanton,2001,PR,116,Yankees,4,3,6,4,3,1,2,1,0,160,1,L,Reliever
Ray,King,Ray King,2001,PR,117,Brewers,3,3,4,7,3,2,1,0,0,210,1,L,Reliever
Matt,Morris,Matt Morris,2001,PR,120,Cardinals,5,3,3,6,3,1,3,1,0,410,5,R,Starter
Kevin,Appier,Kevin Appier,2001,PR,121,Mets,3,4,4,5,3,1,2,1,0,330,6,R,Starter
Frank,Castillo,Frank Castillo,2001,PR,122,Red Sox,3,4,5,4,4,1,1,1,0,420,6,R,Starter
John,Smoltz,John Smoltz,2001,PR,125,Braves,3,2,5,6,4,0,2,1,0,440,6,R,Starter
Ben,Weber,Ben Weber,2001,PR,126,Angels,2,3,4,6,4,0,2,1,0,100,1,R,Reliever
Travis,Harper,Travis Harper,2001,PR,128,Devil Rays,4,8,2,3,2,1,3,1,0,300,6,R,Starter
Ugueth,Urbina,Ugueth Urbina,2001,PR,133,Expos,4,3,8,3,3,1,2,0,0,270,1,R,Closer
Steve,Kline,Steve Kline,2001,PR,134,Cardinals,4,2,4,6,3,1,3,1,0,110,1,L,Reliever
Tanyon,Sturtze,Tanyon Sturtze,2001,PR,135,Devil Rays,4,3,3,6,3,2,2,1,0,190,2,R,Reliever
Tomokazu,Ohka,Tomokazu Ohka,2001,PR,137,Red Sox,2,4,3,6,4,0,2,1,0,320,6,R,Starter
Kip,Wells,Kip Wells,2001,PR,139,White Sox,4,2,4,5,3,2,3,1,0,160,5,R,Starter
Shane,Reynolds,Shane Reynolds,2001,PR,146,Astros,1,2,4,8,3,0,2,1,0,190,6,R,Starter
Jay,Powell,Jay Powell,2001,PR,150,Astros,4,2,4,5,4,2,2,1,0,110,1,R,Reliever
Travis,Miller,Travis Miller,2001,PR,152,Twins,4,2,5,5,3,1,3,1,0,100,1,L,Reliever
Nelson,Cruz,Nelson Cruz,2001,PR,154,Astros,1,3,4,6,4,1,1,0,1,10,1,R,Reliever
David,Wells,David Wells,2001,PR,164,White Sox,5,3,4,5,3,0,4,1,0,460,7,L,Starter
Hideo,Nomo,Hideo Nomo,2001,PR,167,Red Sox,4,2,6,4,3,2,2,0,1,190,6,R,Starter
Ramon,Ortiz,Ramon Ortiz,2001,PR,170,Angels,1,3,4,7,3,2,1,0,0,250,6,R,Starter
Mike,Holtz,Mike Holtz,2001,PR,171,Angels,4,2,5,5,3,2,3,0,0,150,1,L,Reliever
Mike,Mussina,Mike Mussina,2001,PR,173,Yankees,3,1,6,7,3,0,2,1,0,470,7,R,Starter
